Date,Username,Link,Description,Language,Template,Hashtags,authorDigged,authorFollowerCount,authorFollowingCount,authorLikes,videoCount,musicAuthorName,musicTitle ,collectCount,Video Comment Count,Video Play Count,Share Count,videoId,authorId,musicId
2023-09-07,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7275876548614376750,"American V-log about how cheap the accomodation is in Bali, food, medical care and even tatu services. ",English,No,#bali #livingabroad #movetobali #livinginbali #canggu #traveltips #digitalnomad #expat #contentcreator #budget #cheap #costofliving,1600000,407500,121,16100000,642,Tsuyoshi_san,Vlog Video work Fashionable BGM(847726),213900,9745,12800000,150700,7275876548614376750,6685819687970980869,6860515009819052033
2023-09-22,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7281779046545984810," A destination guide of Bali, place is priced around 35 million IDR per month which is around $2000 USD . Bad English, jargon showcasting the target group.",English,No,#bali #villatour #housetour #balivilla #rentinbali #canggu #movingabroad #livingabroad #livinginbali #expat #digitalnomad,35300,407500,121,16100000,642,Dusty Sky,Hip Hop with impressive piano sound(793766),9021,300,478100,3341,7281779046545984810,6685819687970980869,6860502663327385601
2023-09-30,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7284748284978040106,"A guide on how to save on accomodation in Bali using worldpackers, the guy is telling differemt stories of how he travelled cheap, working only 5 hours 4 das a week.",English,No,#travel #liveabroad #contentcreator #worldpackers #workexchange #freelance #digitalnomad #spain #bali #livingabroad,24200,407500,121,16100000,642,Tsuyoshi_san,Vlog Video work Fashionable BGM(847726),8652,219,144000,2669,7284748284978040106,6685819687970980869,6860515009819052033
2023-10-02,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7285477839745387819,"An American guys is telling in a very hard jargon about positive side of living in Europe: transportation, alcohol and complain about late dinners",English,No,#barcelona #bcn #spain #thingsthatshockedme #tapas #metro #livinginspain #movingabroad #digitalnomad #livingabroad #europe #livinginsurope,55600,407500,121,16100000,642,Thomas Manuel,original sound,4481,562,428300,3415,7285477839745387819,6685819687970980869,7285477904027257646
2023-11-10,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7299904772478356779,"An American guy is talking about the Bali's low cost of living, and that american money will get you longer. ",English,No,#bali #livinginbali #balilife #balivilla #expat #digitalnomad #lifeinbali #canggu #ubud #uluwatu #rent #foodinbali #thingstodoinbali,38300,407500,121,16100000,642,Tsuyoshi_san,Vlog Video work Fashionable BGM(847726),5768,245,338900,1431,7299904772478356779,6685819687970980869,6860515009819052033
2023-12-16,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7312975977657666862,An American guy comparing food and cost of living in Bali with Huston. The video starts with the big women butt on a SUP,English,No,#bali #leavingamerica #livinginbali #travelbali #digitalnomad #expat #canggu #rentinbali #balivilla #balicost,439000,407500,121,16100000,642,L.Dre,Chillest in the Room,42100,1876,3200000,10700,7312975977657666862,6685819687970980869,6758223850871195650
2023-10-31,andjustlikepat,https://www.tiktok.com/@6637666681156714501/video/7296115217946266881,"A guy is talking about remote work during the night, while being in Asia but working for a American company. It was ruining his quality of life",English,No,#expatinkorea #digitalnomad #remotework #southkorea,24000,156400,1385,14700000,2738,PatPat | TikTok Coach,original sound,3003,251,215200,56,7296115217946266881,6637666681156714501,7296115298200390402
2023-12-04,andjustlikepat,https://www.tiktok.com/@6637666681156714501/video/7308529274514902274,"The video is showing different travel destinations and saying ""This is your chance to move abroad in 2024, Dm for more details"" The author is lifestyle coach.",English,No,#movingabroad #digitalnomad #livingabroad #iwantout #lifeabroad #studyabroad,36300,156400,1385,14700000,2738,VØJ & Narvent,Memory Reboot,2050,0,239700,237,7308529274514902274,6637666681156714501,7187522881587267586
2023-12-05,japankatiger,https://www.tiktok.com/@7202909611166139419/video/7309035250145856786,Shifting picture of autumm in the mountains and in the stret,Arabic,Use this tempalte,#EverydayAdventure #EverydayAdventure #LearningCurve #FriendshipGoals #DigitalNomad #SelfDiscovery #SunsetDreams @Usmån Khan,107100,683100,24,10400000,924,Usmån Khan,original sound,7124,476,631700,1448,7309035250145856786,7202909611166139419,7287676715986340639
2023-10-29,carladomenechp,https://www.tiktok.com/@6805090086267487238/video/7295301157084335392,"I think about leaving sometimes, where would you go? Anywhere, just not here...",Spanish,No,#bali #indonesia #viajar #viaje #digitalnomad #viajesentiktok #travel #fyp #parati,26200,183500,1126,9300000,701,bright martins,original sound,2726,105,165200,234,7295301157084335392,6805090086267487238,7262832545555909408
2024-01-04,carladomenechp,https://www.tiktok.com/@6805090086267487238/video/7320219887811448097,"The woman discusses the expenses associated with traveling and residing in Thailand, focusing on the costs of food, accommodation, and entertainment.",Spanish,No,#viajar #viaje #travel #tailandia #digitalnomad #viajesentiktok,23000,183500,1126,9300000,701,A,original sound - A,5773,149,290500,1713,7320219887811448097,6805090086267487238,7303096818870668038
2024-01-15,carladomenechp,https://www.tiktok.com/@6805090086267487238/video/7324439734401453345,"The girl is traveling the world alone, with a backpack and a coffee. She is saying that traveling put her out of her comfort zone and expands her understanding of the world. The video is in spanish",Spanish,No,#viajar #viaje #solotravel #digitalnomad #viajesentiktok,34800,183500,1126,9300000,701,Haziel 💋,sonido original,4505,318,435800,722,7324439734401453345,6805090086267487238,7155234071328017158
2023-12-05,vianaturley,https://www.tiktok.com/@6807864045137757189/video/7309164294237654315," A woman talking to about morning to Thailand and living abroad, raising a kid,and how much energy does it take. A litle butil connection to DN",English,No,#morningvlog #thailandvlog #thailandliving #livingabroad #thailandtiktok #digitalnomad #expatlife #realisticmorningroutine #thailand,16500,160000,750,7900000,1624,Natalie 🇹🇭🇺🇸,original sound,447,25,173000,20,7309164294237654315,6807864045137757189,7309164396356307754
2023-07-06,hannagetshired,https://www.tiktok.com/@7060687149274629167/video/7252796512256675115,"A girl showcasts @Kindred  home swap service, to minimise accomodation costs if you share your appartment, she says she has a refferal code.",English,Green Screen,#travelhack #europetravel #livekindred #airbnb #homeswap #budgetravel #homeswapping #digitalnomad #digitalnomadlife #traveltiktok #travelbucketlist #greenscreen #greenscreenvideo,23900,232500,272,7500000,479,hanna gets hired,original sound,10200,269,571700,2943,7252796512256675115,7060687149274629167,7252796502089943854
2023-10-23,charlie__chang,https://www.tiktok.com/@6765280982964716549/video/7293236173353291038,"Interview with a young girl, who lives in Bali and works as a front end engineer. She is talking about how easy it is to take a three month boot camp and get a remote job as front end engineer",English,No,#digitalnomad #remotework #bali,30100,403400,99,6200000,871,Charlie Chang,original sound,9881,235,481800,1680,7293236173353291038,6765280982964716549,7293236272028519198
